Country Name,PrivateInvest,CO2,Renew,AccessEnergy,FossilFuel,ElectricPower,FuelExports,GDP,ForestArea,EnergyUse,PopGrowth,RenewElecOut,UrbanPop,CGovDebt,AirPolExp,Continent,ParisClimAccord
Aruba,25480000,872.746,6.927501542,100,,,0.250656882,2649720670,2.33333326,,0.594397037,15.09927995,43.041,,,South America,No
Afghanistan,267600000,9809.225,19.31426861,89.5,,,,20484873230,2.067824648,,3.355581661,85.32354903,24.587,,59.01033025,Asia,Yes
Albania,178400000,5716.853,38.68950076,100,61.42180139,2309.366503,1.567523363,13228244336,28.1919716,808.4558396,-0.207047,100,56.423,73.32024692,18.88395497,Europe,Yes
United Arab Emirates,624400000,211369.547,0.145671401,100,86.12834902,11088.35029,53.62606112,4.03E+11,4.527457175,7648.399884,0.176677484,0.258307016,85.375,,37.98342106,Asia,Yes
Argentina,437080000,204024.546,10.90195793,100,87.72240748,3074.702071,4.751847129,5.26E+11,10.01531075,2029.922825,1.099461091,31.5762042,91.377,,14.46698041,South America,Yes
Australia,655620000,361261.839,9.278198457,100,93.38683566,10071.39898,28.01940925,1.47E+12,16.19866446,5334.681679,1.491566489,14.90671221,85.602,0.042207528,9.492978752,Australia,Yes
Austria,852306000,58712.337,35.39427334,100,64.81315647,8355.841952,2.386195601,4.42E+11,46.86208745,3763.327903,0.781541633,81.05686835,57.526,,13.37922794,Europe,Yes
Burundi,71020000,440.04,94.59818282,7,,,0.039931806,2705783272,10.56853559,,3.136852423,80.71878883,11.776,,39.38755864,Africa,Yes
Belgium,1363600000,93350.819,9.073995098,100,72.65250484,7709.123078,11.33667661,5.35E+11,22.55482239,4708.221218,0.443929288,17.0806411,97.833,,13.2336213,Europe,Yes
Bangladesh,516500000,73189.653,37.63448349,62.4,73.76893795,320.2041582,,1.73E+11,10.9979256,229.2464129,1.142594657,1.319724237,33.535,,68.3953774,Asia,Yes
Bulgaria,619800000,42416.189,16.96662481,100,71.04592252,4708.927458,11.166175,56814543481,35.05711172,2477.655401,-0.568389264,15.74360176,73.651,,20.74356996,Europe,Yes
"Bahamas, The",355100000,2416.553,1.088802769,100,,,0,10913300000,51.44855145,,0.93928457,0,82.668,47.26727937,18.49533328,North America,Yes
Belarus,743760000,63497.772,6.634180601,100,92.44037502,3679.97884,33.16786379,78813839984,42.43716789,2928.520216,0.089902558,0.722614078,76.693,24.54872626,19.76605366,Europe,Yes
Belize,78120000,495.045,36.90616801,94.48614502,,,16.65826719,1662802599,60.11924359,,2.188961079,50.70547537,45.335,78.48117394,24.42114809,North America,Yes
Bermuda,85930000,575.719,1.994798608,100,,,,,18.51851819,,0.212304426,0,100,,12.80641477,North America,No
Brazil,9983600000,529808.16,41.84187872,99.650247,59.10753264,2619.960616,9.246522347,2.46E+12,59.16651312,1495.541207,0.855792023,73.08207385,85.492,58.45726099,13.98993477,South America,Yes
Botswana,902260000,7033.306,28.80052102,56.12682343,74.68798407,1815.558069,0.488134903,16250750259,19.30760714,1300.63669,1.256439448,0.043233895,66.368,17.44535971,24.15127779,Africa,Yes
Central African Republic,42965000,300.694,76.90304119,21.33891869,,,,1892292912,35.61205754,,0.364290952,99.41520468,39.959,,49.35636376,Africa,Yes
Canada,8985240000,537193.498,22.02465154,100,73.19287432,15588.48715,29.92180488,1.80E+12,38.17179436,7897.855615,1.005337579,62.82499222,81.218,,7.428419864,North America,Yes
Central Europe and the Baltics,10782288000,636385.848,17.04124349,100,76.24536377,4115.630201,4.991033541,1.47E+12,34.03978031,2470.544318,-0.209757193,20.5025605,62.11364514,,18.60919623,Europe,No
Switzerland,6342520000,35305.876,23.41814723,100,48.74185988,7520.166025,1.537854554,7.09E+11,31.63781558,3059.936749,1.220103973,58.01546318,73.696,21.04976776,11.38910719,Europe,Yes
Chile,2537008000,82562.505,26.71709933,100,73.25054383,3879.675605,0.933984283,2.61E+11,23.44781191,2032.934757,1.061145126,42.40700891,87.303,,22.86825181,South America,Yes
China,1545950000,10291926.88,12.22382301,100,87.67043077,3927.0445,1.458796189,1.04E+13,22.02539848,2236.729908,0.506311592,22.60915378,54.259,,59.76736751,Asia,Yes
Cote d'Ivoire,269000000,11045.004,72.22378455,61.9,26.49233002,274.7300905,21.4559799,35316491207,32.70880626,612.640154,2.504548687,23.93193338,49.014,,20.90017764,Africa,Yes
Cameroon,258000000,7003.97,76.97539079,56.8,38.31785719,275.1979137,54.38476894,34942948737,40.26993294,335.2015077,2.701555717,75.32509753,53.976,,56.71530558,Africa,Yes
"Congo, Rep.",172000000,3094.948,62.3963358,52.68031693,40.48060338,202.8721289,61.8681573,14177437982,65.44480349,554.8084072,2.440638958,54.71264368,65.085,,45.85281627,Africa,Yes
Colombia,774600000,84091.644,24.44180909,97.790938,76.68569263,1312.157503,67.52860132,3.81E+11,52.7521054,724.0471092,1.009872269,74.03831068,79.415,79.68305695,18.34420526,South America,Yes
Costa Rica,165000000,7759.372,37.84254113,99.359291,49.88027273,1942.48817,0.043355735,50577769838,53.38425478,1023.008944,1.117473924,89.79152393,75.941,,17.54363411,North America,Yes
Dominican Republic,277000000,21539.958,18.01902034,98.470979,86.56359598,1615.515242,6.778126307,67179956264,40.36017489,751.795394,1.157205552,13.33937266,77.67,,14.1880737,North America,Yes
Ethiopia,120000000,11598.721,92.06765188,27.2,6.56980663,69.19875316,0.025140129,55612228234,12.45840039,493.1301633,2.799921862,99.96847084,18.998,,35.04359745,Africa,Yes
Ghana,900000000,14466.315,45.04949208,78.3,52.54306013,351.301579,,53601126664,40.90972844,331.8272252,2.291780693,64.73038648,53.419,,25.8895233,Africa,Yes
Guatemala,302500000,18327.666,59.90100231,85.494371,37.37859696,577.8973542,6.561547123,58722323918,33.37439252,830.1109893,2.077687195,68.57409133,49.634,23.29707271,26.52785542,North America,Yes
Honduras,562300000,9471.861,54.04094179,88.653773,52.47931253,619.8363949,0.045370367,19756494435,42.11278935,597.9295164,1.769416748,43.82931077,54.514,,23.16154008,North America,Yes
Indonesia,1690500000,464176.194,37.45426835,97.01,66.08947546,811.9069049,29.17976191,8.91E+11,50.61598417,883.9182941,1.310876905,11.47510049,52.635,27.4216122,16.45463183,Asia,Yes
India,2816300000,2238377.137,36.65183786,83.62010956,73.57697909,804.5142281,19.62662315,2.04E+12,23.71311674,636.5701556,1.145623988,16.25383982,32.384,,89.62238269,Asia,Yes
Jamaica,57300000,7422.008,16.11678991,96.44455719,80.97134481,1050.732904,22.29233913,13897804560,30.98614834,976.858486,0.572985316,9.796314258,54.584,132.4273745,14.07433169,North America,Yes
Jordan,191000000,26450.071,3.130551865,99.98744202,97.60844665,1864.675855,0.168398552,36329267606,1.09822032,916.9928327,4.583580445,0.362239297,90,78.822879,33.20542058,Asia,Yes
Japan,20628000000,1214048.358,5.625025887,100,94.4074689,7819.714636,2.198186266,4.85E+12,68.46499783,3470.763129,-0.132694222,14.05935936,91.304,194.4280527,12.58661692,Asia,Yes
Kazakhstan,6876000000,248314.572,1.305655116,99.97853088,99.17390731,5600.208465,76.62713116,2.21E+11,1.225691744,4434.639121,1.472676743,7.877755358,57.118,12.64696963,13.74975351,Asia,Yes
Kenya,764000000,14286.632,75.5181686,36,17.37957261,164.3255487,,61448046802,7.689496262,505.9974007,2.55944065,81.48628213,25.221,,28.94935013,Africa,Yes
Kyrgyz Republic,40000000,9607.54,26.60830703,99.8,75.47621896,1941.221832,13.16060023,7468096567,3.362877998,650.401508,2.006107899,91.2572056,35.635,53.88932702,23.29819153,Asia,Yes
Cambodia,28000000,6684.941,68.00791011,56.1,30.6290814,271.3672582,3.55E-05,16702610842,54.29639922,416.8383089,1.638083897,61.13651208,21.799,,28.58336628,Asia,Yes
"Korea, Rep.",6402410000,587156.373,2.838191508,100,82.3950038,10496.51367,9.007706172,1.41E+12,63.54921582,5289.275832,0.628149861,1.566868059,81.707,38.38780171,27.21311037,Asia,Yes
Kuwait,9146300000,95408.006,0,100,93.68988945,15590.59991,95.2221086,1.63E+11,0.350729517,9178.88306,4.561042817,0,100,,55.62390422,Asia,Yes
Latin America & Caribbean (excluding high income),18292600000,1734047.293,27.31696572,96.92131516,72.76429022,2086.220414,14.17876379,5.88E+12,47.54132455,1303.133525,1.078062236,54.62205489,79.37431992,,18.38906978,South America,
Lao PDR,2022000000,1954.511,60.47414119,83.08732605,,,0.044511629,13268458232,80.46897849,,1.493868185,99.96674873,32.487,,28.39017177,Asia,Yes
Lebanon,207760000,24070.188,3.233519146,100,97.62110111,2588.30067,1.097492287,48296099502,13.41348986,1196.60562,5.713767406,1.075089127,87.947,,30.44456692,Asia,Yes
Liberia,25970000,935.085,83.93553433,9.4,,,,3144000000,43.6980897,,2.583161272,0,49.397,,14.94227071,Africa,Yes
Libya,415620000,56996.181,1.753929078,74.79836273,99.11129636,1811.05517,,41142722414,0.123327688,2808.648236,0.657259875,0,79.009,,47.50123391,Africa,No
Latin America & Caribbean,18805900000,1912531.504,27.08299299,97.03610623,73.34633718,2155.702676,13.30175294,6.42E+12,46.38044314,1358.167486,1.060012386,53.06284039,79.60007651,,18.39993651,South America,
Sri Lanka,207810000,18393.672,57.58518113,92.19476318,50.54557398,531.0905766,2.654188572,79356449841,33.11433739,515.5110213,0.933207943,39.20231121,18.218,71.33279838,26.92277652,Europe,Yes
Late-demographic dividend,23252960000,15089660.88,14.07068249,98.94332442,86.18233309,3707.918998,20.9875057,1.97E+13,39.00159707,2309.0247,0.610963736,25.25461383,58.93207808,,45.022155,Africa,
